"zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv","age_mod","lstat_mod","dis_mod","medv_mod","rm_mod","predict_prob","predict_target"
0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7,209.823232454638,1.37790780644947,1.60283616879954,2.26087097904554,1.57390370483387,0.0410683860876141,0
0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,18.2,319.825966982425,1.70829902485127,1.49557468428452,1.94902055448381,1.51551535317283,0.788053873667983,1
0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8,18.4,369.371678202117,1.79745610324893,1.49395971858799,1.95392594332002,1.53777645017617,0.809216214648255,1
0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71,13.2,307.579940154704,2.14687323121757,1.38379123090177,1.81022268990458,1.50708900733519,0.810793313435568,1
0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,21,126.900264039494,1.64774463578769,1.36970755751549,2.01423638976119,1.50122521107527,0.0735460486002315,0
25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,18.7,232.870988274597,1.80864329688162,1.9776025957878,1.96120760886864,1.49474509094083,0.305693520359429,0
25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,16,364.293094682705,1.84799356430941,1.91963950631575,1.89211529345119,1.50802015940376,0.384209011084125,0
0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,26.6,187.781031188598,1.53967845159135,1.49013622420843,2.12678102261235,1.54506982725927,0.0076087865764618,0
0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44,22.2,190.83271821837,1.63327292485164,1.3211156350949,2.04014569911792,1.5169425985091,0.00228761091928036,0
0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34,21.4,248.537549200063,1.74807878653998,1.25139059865509,2.02299666990357,1.51933029831616,0.000852933513112927,0
0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,370.31,25.41,17.3,382.65135412363,2.10451038396089,0.664953446189163,1.92641833790016,1.50157920649983,0.231056968801847,0
0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26,15.7,375.487306388381,2.13880379412611,0.563721633119488,1.88389598287443,1.48701332327157,0.145180885106015,0
0,21.89,0,0.624,5.637,94.7,1.9799,4,437,21.2,396.9,18.34,14.3,370.898410976599,1.95245865554502,0.683046338380516,1.8438572217252,1.48847329747116,0.763107412175651,1
0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,240.16,9.81,25,362.26621463609,1.69076742402913,0.82566556026009,2.09665127231604,1.5158011623208,0.949455293993913,1
0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,19.1,384.190562479232,1.77198929664558,0.870749284903777,1.97077785892429,1.50299240155549,0.636521673187467,1
0,10.59,1,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27,21.7,357.715302724261,1.92564948414571,1.35508745149518,2.02948450001446,1.50767120297137,0.327133444875294,0
0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,380.34,3.76,31.5,53.646069184872,1.3561046474856,1.21642495351517,2.21111549165168,1.54086998109652,0.287928475411768,0
0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,378.95,3.95,48.3,252.257714649316,1.37156796191507,1.29524758010152,2.43953941941275,1.62460609692577,0.953451764329251,1
22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53,29.6,12.0854155097606,1.33655914640624,2.1868038025083,2.17970185373444,1.5622734807463,0.0439830651752592,0
90,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,394.72,7.85,32.2,51.6990229415348,1.60627544746023,1.98887384848743,2.22232130858415,1.56899100229522,3.3058506274333e-06,0
80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,341.6,12.93,20.1,88.6755151075993,1.80163852830723,2.20708689551551,1.99404563505727,1.5231134412714,1.24409338955282e-05,0
33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,393.36,8.93,28.4,196.53005337821,1.65461072688994,1.21491274436427,2.15905257629678,1.54431882054372,0.0646793113641712,0
0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,396.9,5.98,22.1,173.549792715143,1.50883334142994,0.970892547065739,2.03802835929323,1.51699959489119,0.0744464035275782,0
0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,396.9,6.12,25,121.363385938563,1.51688559495661,1.55204182329279,2.09665127231604,1.53339919866514,0.153701991680763,0
0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15,23,79.2806488010132,1.51859259080093,1.68933907162858,2.05682528376875,1.52770115773043,0.119563025309423,0
0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56,18.5,203.151548792852,1.71966044218891,1.72544158819041,1.95636325660252,1.50387339453308,0.648099639173016,1
80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,390.94,5.99,24.5,82.1454256101975,1.50941328869634,2.12154271769847,2.08693152444449,1.54533774801849,0.000363254487874748,0
0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12,27.5,336.655363249954,1.57061737861058,0.478219784017076,2.14312014976993,1.33924968823478,0.999999999870506,1
0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96,50,385.217492899657,1.28350360713834,0.184319559456628,2.45902588852373,1.56531087848779,0.99999998421966,1
0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64,14.5,327.720868324843,1.93506106018123,0.719155999740996,1.84975683399646,1.52970079064963,0.99999893512284,1
0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02,8.4,336.655363249954,2.25060298805342,0.599166117089051,1.63148932234725,1.50621429958284,0.999999997775071,1
0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,396.9,22.88,12.8,366.830358246389,2.05435212026813,0.597296854903111,1.79745610324893,1.48786555767445,0.999999982309712,1
0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11,10.5,359.230797624559,2.03824042485204,0.623904277817785,1.71740822617911,1.49933249962593,0.999999949947619,1
0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,395.69,16.59,18.4,398.107170553497,1.90793980534392,0.695544305159667,1.95392594332002,1.52249448473256,0.999999997546549,1
0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79,10.8,380.601297361791,2.07286358271947,0.639535411111296,1.72857195976593,1.50146123906878,0.99999999586813,1
0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13,14.1,329.701512680752,1.94729386206352,0.890275244670873,1.83789372892875,1.53940721844815,0.999999999573689,1
0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65,17.7,339.1469724705,1.85414055709156,0.942776857109982,1.93657290504089,1.53125003251046,0.999999989772273,1
0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22,21.4,229.219242413919,1.81085315742582,1.0863372577925,2.02299666990357,1.52193106501936,0.999999857010467,1
